湯呑みが降ってくる ◎５点
達人を越えて野となり山となり \r\n△２点
思わぬカプセル取得が凶 ▼１点
ナンシーより緊急連絡 ○３点
その壁には当たり判定が\r\nあるよ △２点
殺意の緑ヘリコプター ▼１点
狂気の赤ヘリコプター △２点
真上に重なれば安置。\r\nの場合もあった ○４点
左上だけはおおむね安置 ○３点
中に入ったけど倒せない ▼２点
誘導失敗 ▼２点
幻覚を見て避けたね ◎７点
無敵が付いてないボムで\r\n回避しようとした ▼２点
パワーアップを取りに行って\r\n散る ×１点
当たり判定は見た目通りだよ \r\n▼１点
インチキ当たり判定 △２点
「メ」じゃなくて「X」だな \r\n○４点
主人公が足場から落ちるSTG \r\n▼１点
任務はユグスキューレの破壊だ \r\n▼１点
武器は冷凍マグロです ○４点
ノーコンガンデッチー △３点
連射装置で難易度急上昇 △２点
ウィザードと言っている\r\nからには男性だろう △３点
ライフ回復の硬直中に\r\n追加ダメージ ▼２点
攻撃力アップの硬直中に\r\n追加ダメージで散る ×１点
父よ、母よ、妹達よ ○５点
私自らが出るって言ったじゃん ▼２点
避けた先に弾があった ▼２点
強攻撃は隣のボタンですよ △３点
